,size,method,run,time_seconds,gflops,cpus
38,250,gpu,8,0.0002349604852497,133.00108725423317,8
39,250,gpu,9,0.0001936102285981,161.4067615449517,8
40,500,gpu,0,0.0007965863682329,313.8391641757122,8
41,500,gpu,1,0.0003846676088869,649.9117529634991,8
42,500,gpu,2,0.0003760212101042,664.8561125865853,8
43,500,gpu,3,0.0003712319768965,673.433366624244,8
44,500,gpu,4,0.0003756684251129,665.4804697116227,8
45,500,gpu,5,0.0003775460645556,662.1708540234393,8
46,500,gpu,6,0.0003734282217919,669.472700269724,8
47,500,gpu,7,0.0003768386319279,663.4139358827405,8
48,500,gpu,8,0.0003782272338867,660.9783156833081,8
49,500,gpu,9,0.0003750652074813,666.550762409516,8
50,1000,gpu,0,0.002813234180212,710.925529793353,8
51,1000,gpu,1,0.0015692396089434,1274.5026244567966,8
52,1000,gpu,2,0.0015667487867176,1276.5288328003178,8
53,1000,gpu,3,0.0015786352567374,1266.9170990982136,8
54,1000,gpu,4,0.0015821579843759,1264.096265828254,8
55,1000,gpu,5,0.0018125877715647,1103.3948432044722,8
56,1000,gpu,6,0.00157858915627,1266.954097623288,8
57,1000,gpu,7,0.0015680653974413,1275.4570078922732,8
58,1000,gpu,8,0.0015723875723779,1271.9510349318025,8
59,1000,gpu,9,0.0015834866091609,1263.0356255805743,8
60,2500,gpu,0,0.0190887072123587,1637.0935785409097,8
61,2500,gpu,1,0.0099928636103868,3127.231714392451,8
62,2500,gpu,2,0.0094333016313612,3312.731980933229,8
63,2500,gpu,3,0.0099899964407086,3128.1292426349746,8
64,2500,gpu,4,0.0094028140418231,3323.473149740268,8
65,2500,gpu,5,0.0099505617283284,3140.526218839858,8
66,2500,gpu,6,0.0093716971576213,3334.508091161101,8
67,2500,gpu,7,0.0099151025526225,3151.757617649082,8
68,2500,gpu,8,0.0094087509438395,3321.376045187079,8
69,2500,gpu,9,0.0099690546281635,3134.70044709311,8
70,5000,gpu,0,0.0746679500676691,3348.1567362360033,8
71,5000,gpu,1,0.0504759982228279,4952.849053056207,8
72,5000,gpu,2,0.0503144326619803,4968.753233878955,8
73,5000,gpu,3,0.0503570149652659,4964.5516155482765,8
74,5000,gpu,4,0.0503479517996311,4965.445287524718,8
75,5000,gpu,5,0.0503287614323198,4967.33861285639,8
76,5000,gpu,6,0.0502484898082912,4975.273902833773,8
77,5000,gpu,7,0.0502898179925978,4971.1852215650815,8
78,5000,gpu,8,0.0502924327738583,4970.92676196703,8
79,5000,gpu,9,0.0502469928003847,4975.4221310948915,8
80,7500,gpu,0,0.2362803029827773,3570.9705352015803,8
81,7500,gpu,1,0.1271416360512375,6636.2996906849,8
82,7500,gpu,2,0.1269664586521685,6645.455886199826,8
83,7500,gpu,3,0.1273334003984928,6626.305410516526,8
